id,name,username,location,description,followers_count,friends_count,listed_count,date_joined,favourites_count,time_zone,verified,statuses_count,language,current_following,follow_request_sent
1502152190902759424,AkuBIGWIN2022🎊,Chitamissufelov,"Jawa Tengah, Indonesia","@chimisswimcityx Ke Sus/di batasi,Pas menang jangan Di rerol😔
Bismillah semoga BIGWIN cepat Aamiin",43,381,0,Fri Mar 11 05:19:56 +0000 2022,369,,False,908,,False,False
306681319,🌱⚡KEYS⚡🌱,KeydarHal,generaly not near you,$egld 100%,240,166,2,Sat May 28 08:36:34 +0000 2011,710,,False,756,,False,False
1497106827070230529,Nana🍀Free tag gais,1997wincityx,,manifesting win cutie🌹,183,1262,2,Fri Feb 25 07:11:04 +0000 2022,1017,,False,4532,,False,False
1440219421016952832,liaangkasawati,abduL_winnerrr,,"bismillahirrahmanirrahim
Allahuma sholli alla muhamad ya robbi husoli alaihi wa salim
#Hwannieproofs
#Barnutsproofs
#jeje113
#iwonmissy",117,4989,10,Tue Sep 21 07:41:16 +0000 2021,4006,,False,29853,,False,False
1453148548447412226,Crypto_Sci,crypto_sci,Australia,"| Scientist | Jewellery artist | NFT enthusiast | 🚀 | 

Boldly express the greatness residing within you  🤜🤛 yes you! you are awesome!",337,943,1,Tue Oct 26 23:56:35 +0000 2021,1247,,False,1419,,False,False
1436578433765494790,0xbonakidtz🌟🌟,0xUniccoffish_,"Pambansang Punong Rehiyon, Rep","Main account is suspended @Moribitoooo8888 and back up @AaarKooo got sus as well.🥲
$LEON",61,3136,6,Sat Sep 11 06:32:54 +0000 2021,1384,,False,14148,,False,False
1501240322122080256,Justin22,Justin284049861,United States,"𝘖𝘯𝘤𝘦 𝘢 𝘣𝘦𝘭𝘪𝘦𝘣𝘦𝘳, 𝘢𝘭𝘸𝘢𝘺𝘢 𝘢 𝘣𝘦𝘭𝘪𝘦𝘣𝘦𝘳 Non-Governmental Organization (NGO) A movement, a vision of extending literacy..",43,13,0,Tue Mar 08 16:56:10 +0000 2022,557,,False,4667,,False,False
2395990778,vldmr,easymedicaltour,,thinking stuff,38,524,0,Tue Mar 18 10:28:22 +0000 2014,188,,False,100,,False,False
876950382450270208,perritopanzon,Argentinacqueja,,"Interes: derechos humanos, astronomía, ciencia, tecnología, historia, vivir en paz sin joder a nadie! $NFT creator & seller : https://t.co/n33ZQGnZRF",14,200,3,Mon Jun 19 23:50:38 +0000 2017,295,,False,780,,False,False
1489387217642561538,Tarry Jamieson,jamieson_tarry,,,0,10,0,Thu Feb 03 23:56:14 +0000 2022,1,,False,56,,False,False
1496524797962231808,🐝🐝 OwieeeBigWin 🐝🐝$QOM,5MarchBigWin22,,"akun pengganti @05MarchBigWin22

#Rubyproof #SofiaLegit #queenkriwinner #AnggainLegit #inezwinner #MarissaPaid #iwonmissy #thatgiveawaysquid",81,2735,1,Wed Feb 23 16:38:30 +0000 2022,2368,,False,16223,,False,False
1497151206455910400,bigbigwinlord 🌟 $QOM 6️⃣5️⃣🎹🎹,aileenbigwin,,"- My 2 account was suspended 🥺🥺
#TEAMSTACKS #LegitCuttieBabeGem 💜 #CuttieBabers #thxsummy #gemhostfamily #SlickGang 🦍 #SUPERFAMILY #6️⃣5️⃣🎹🎹",43,2042,0,Fri Feb 25 10:09:04 +0000 2022,3487,,False,7159,,False,False
1484234962081566726,Kübra Erk,KbraErk4,,Legendary kobra kai fan,89,68,0,Thu Jan 20 18:42:46 +0000 2022,3,,False,23,,False,False
1503438536,eelm,elmengin,,,692,2420,5,Tue Jun 11 13:54:52 +0000 2013,2775,,False,618,,False,False
1189505517074423808,sidney jackson,siddy2412,United Kingdom,"dad , gamer , coffee , crypto #safemoon #vra #doge #xrp #shib #eth #ada",6101,6653,13,Wed Oct 30 11:33:22 +0000 2019,44772,,False,9910,,False,False
397052290,Science,ScienceInc,Los Angeles,"We create, scale and acquire successful digital businesses by bringing together the best ideas, talent, resources and financing through a centralized platform.",8640,118,348,Mon Oct 24 05:10:56 +0000 2011,1392,,False,1127,,False,False
