id,date
1478146411082715138,89
1500749540994936833,89
1474532172623392772,89
1436555707571060748,89
1276476468063682561,89
1508620286446297088,89
1185419417108140032,89
1501254579559624713,89
1474317200731217920,89
1473187532141887492,89
1363019102374141962,89
1368631973347008515,89
1476774235133599746,89
33547688,89
1508707138117455873,89
1434268352730566659,89
1501043463781228544,89
1426079768680845313,89
1432520928370434050,89
1386126643786223617,89
1491992873419493376,89
1467872168709001218,89
1433608865271017510,89
1434332278902112260,89
1484919038417514503,89
3096044227,89
1454692622904160266,89
1449350456963043338,89
431561120,89
1475447607396732929,89
1489559677906169859,89
912945358921232384,89
1455692256380276737,89
1358084898657955841,89
1311139321844441090,89
3183374908,89
1465673829401841678,89
1472859527716372480,89
1481617650564440067,89
1506571317243518980,89
2460721177,89
1424033670352887808,89
1489474125496479744,89
52363384,89
1604388030,89
1209420531956469763,89
969781045,89
1428804152889692164,89
2937037926,89
1488662739949998083,89
1389899802197037057,89
1451296378899009543,89
1507707577333063695,89
1504744299216670720,89
1479397135955415043,89
1415621192774529026,89
1493905329851371523,89
1405705525610696705,89
1272917834985639936,89
1502910924898041857,89
1494441868016472066,89
1339712283052625922,89
4392515962,89
949553915745349632,89
1315541340113911808,89
1139246952149733379,89
1072988177412046848,89
1501514277156532229,89
1483420317343174656,89
1490970108151283716,89
1426643929542270977,89
1435252354543022085,89
1352695332233236480,89
1465275464373600265,89
1481114176873385985,89
1011711094786797574,89
968558090,89
1332330916484689925,89
1025075253494595584,89
377453352,89
1508022953119789058,89
1407557039484653580,89
1190227349775831040,89
1508467826885271552,89
1467257544246632448,89
1368128424477220864,89
1436976119253594117,89
1502651667644301315,89
1495813114482532363,89
724593591474114561,89
1190479219383361536,89
3014099809,89
1495438153536401409,89
1508738962780999680,89
1139951122485956609,89
1498598183542267906,89
1476257588413333504,89
1476561705740218374,89
1494358762307477522,89
1587346304,89
1490596015740801024,89
1507837034827759631,89
1502331801129590784,89
1246452192141119488,89
